,Official English Name,Debut,Affiliations,Occupations,Status,Birthday,Devil Fruit,Observation Haki,Armament Haki,Conquerers Haki,Origin,Age,Height,Blood Type,Fruit Type,Bounty
35,Aphelandra,514.0,Kuja,"Warrior (Former),  Pirate",Alive,August 1,0,0,0,0,Calm Belt,,,,,
36,Aramaki,905.0,Marines,Admiral,Alive,February 29,1,1,1,0,South Blue,41.0,308.0,X,Logia,3000000000.0
37,Peekatha Krotch,707.0,Corrida Colosseum,,Alive,,0,0,0,0,,,,,,
38,Arlong,69.0,Arlong Pirates,Pirate Captain,Alive,May 3,0,0,0,0,Grand Line,39.0,263.0,F,,20000000.0
39,Kicking Claw Force,196.0,Arabasta Kingdom,Guards,Deceased,,0,0,0,0,,,,,,
40,Arthur,556.0,Whitebeard Pirates,Pirate,Alive,,0,0,0,0,,,,,,
41,Aruyutayan V,292.0,Lvneel Kingdom,King,Deceased,,0,0,0,0,North Blue,,,,,
42,Heercomes Dasun,483.0,Marines,Chief Petty Officer,Alive,,0,0,0,0,,,,,,0.0
43,Asashichi,930.0,,Soba Shop Owner,Alive,,0,0,0,0,,,,,,
44,Ashura Doji,920.0,Mt. Atama Thieves,Bandit,Deceased,April 10,0,1,1,0,Grand Line,,544.0,X,,
45,Asla,1153.0,Elbaph Royal Family,,Deceased,,0,0,0,0,,,,,,
46,Aswa,163.0,,,Unknown,,0,0,0,0,,,,,,
47,Atagoyama,915.0,,Sumo Wrestler,Alive,,0,0,0,0,,,,,,
48,,,,,,,0,0,0,0,,,,,,
49,Atmos,553.0,Whitebeard Pirates,13th Division Commander,Alive,March 19,0,0,0,0,West Blue,,,,,
50,AtatchiAttach,436.0,World Economy News Paper,Reporter,Unknown,,0,0,0,0,,,,,,
51,Avalo Pizarro,575.0,Blackbeard Pirates ,Titanic Captain (Captain of the Fourth Ship),Alive,September 30,1,0,0,0,North Blue,40.0,505.0,X,Paramecia,0.0
52,Eiyess Emmar,,Marines,Okaki artisan,Alive,,0,0,0,0,,,,,,
53,Bean-Washing Hag,940.0,,,Alive,,0,0,0,0,,,,,,
54,Babanuki,934.0,Beasts Pirates ,Shinuchi,Alive,,1,0,0,0,,,,,Artificial Zoan,
55,Babe,160.0,New Spiders Cafe,Cafe Delivery Boy ,Alive,June 19,0,0,0,0,Grand Line,28.0,218.0,F,,3200000.0
56,Baburu,690.0,,,Alive,,0,0,0,0,Grand Line,,,,,
57,Baby 5Baby Five,682.0,Happo Navy,Pirate,Alive,May 15,1,0,0,0,North Blue,24.0,181.0,XF,Paramecia,
58,"Bacura,Bakula",516.0,Kuja Pirates,Pet,Alive,November 29,0,0,0,0,Calm Belt,,,,,
59,Baggaly,561.0,Whitebeard Pirates,Pirate Captain,Alive,,0,0,0,0,,,,,,
60,Bazeko,668.0,Marines,Marine Officer,Alive,,0,0,0,0,,,,,,
61,Ban Dedessinée,823.0,Levely,Queen of the Frauce Kingdom,Alive,,0,0,0,0,East Blue,,,,,
62,BunchiBunch,114.0,Baroque Works  (former),Transportation,Alive,,0,0,0,0,West Blue,,,,,
63,Bankina,41.0,,,Deceased,December 17,0,0,0,0,East Blue,,,,,
64,Bancro,967.0,Roger Pirates,Pirate,Unknown,,0,0,0,0,,,,,,
65,Banshee,552.0,Spade Pirates,,Alive,,0,0,0,0,,30.0,,,,
66,Banzaburo,960.0,Kouzuki Family,Retainer of the Kouzuki Family,Deceased,,0,0,0,0,,,,,,
67,"Gyoro, Nin, Bao",449.0,Thriller Bark Pirates,Soldier Zombies[citation needed],Deceased,,0,0,0,0,,,,,,
68,Bao Huang,979.0,Beasts Pirates,Shinuchi,Alive,,1,0,0,0,,,,,Artificial Zoan,
69,Barbell,1096.0,Rocks Pirates (former),Pirate,Unknown,,0,0,0,0,,,,,,
70,Bariete,804.0,Mokomo Dukedom (Recon Squad),Recon Squad ,Alive,,0,0,0,0,,,,,,
71,Kicking Claw Force,196.0,Arabasta Kingdom,Guards,Deceased,,0,0,0,0,,,,,,
72,Barry,552.0,Spade Pirates,Pirate,Alive,,0,0,0,0,,,,,,
73,Bartholomew Kuma,233.0,Freedom Fighters (former),Army Commander of the Revolutionary Army,Alive,February 9,1,1,1,0,South Blue,45.0,689.0,X,Paramecia,296000000.0
74,Bartolomeo,705.0,Barto Club,Captain of the Second Ship of the Straw Hat Grand Fleet,Unknown,October 6,1,0,0,0,East Blue,24.0,220.0,X,Paramecia,200000000.0
75,Baskerville,379.0,World Government (Enies Lobby),Chief Justices of Enies Lobby,Unknown,March 30,0,0,0,0,Grand Line,48.0,512.0,Bas: X And: XF Kerville: F,,
76,Basil Hawkins,498.0,Hawkins Pirates,Pirate,Unknown,September 9,1,1,1,0,North Blue,29.0,210.0,S,Paramecia,320000000.0
77,Basilisk,528.0,"World Government, Impel Down",Level 2 Guardian,Alive,,0,0,0,0,West Blue,,,,,
78,Bastille,553.0,Marines,Vice Admiral,Alive,July 14,0,1,1,0,Grand Line,36.0,291.0,F,,0.0
79,Bacchy,43.0,,,Unknown,July 1,0,0,0,0,East Blue,,,,,
80,Bat-ManBatman,914.0,Beasts Pirates,Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
81,Grasshopper-Man,980.0,Beasts Pirates,Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
82,Baxcon,718.0,Tontatta Kingdom Scouting Unit ,Scout ,Alive,,0,0,0,0,,,,,,
83,Beak Remark,599.0,,Fishmonger,Alive,,0,0,0,0,,,,,,
84,Bee-Girl,980.0,Beasts Pirates,Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
85,Beer VI,823.0,,King of the Roshwan Kingdom,Alive,,0,0,0,0,,,,,,
86,Beetle-Man,983.0,Beasts Pirates,Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
87,Bekori,1097.0,Sorbet Kingdom (former),King (former),Unknown,,0,0,0,0,,,,,,
88,Belo Betty,904.0,Revolutionary Army (East Army),East Army Commander of the Revolutionary Army,Alive,June 15,1,1,1,0,East Blue,34.0,196.0,XF,Paramecia,457000000.0
89,Belladonna,514.0,Kuja,Doctor,Alive,October 26,0,0,0,0,Calm Belt,,,,,
90,Bellamy,222.0,Donquixote Pirates (former),Dyer,Alive,August 7,1,1,1,0,North Blue,25.0,240.0,F,Paramecia,195000000.0
91,BeretBellett,537.0,Unnamed kingdom (former),Pirate,Alive,,0,0,0,0,,,,,,
92,Belle-Mère,77.0,Marines (former),Mikan Farmer,Deceased,December 3,0,0,0,0,East Blue,,186.0,S,,
93,Benn Beckman,1.0,Red Hair Pirates,Pirate,Alive,November 9,0,0,0,0,North Blue,50.0,206.0,X,,0.0
94,Bent,1134.0,Walrus School,Student,Alive,,0,0,0,0,,,,,,
95,Bentham,129.0,Newkama Land,Queen of Newkama Land,Alive,August 15,1,0,0,0,East Blue,30.0,238.0,F,Paramecia,32000000.0
96,Bepo,498.0,Heart Pirates,Pirate,Alive,November 20,0,0,0,0,Grand Line,20.0,240.0,S,,1500.0
97,Bian,717.0,Tontatta Kingdom,Leader of Pink Bee Squad,Alive,,1,0,0,0,,,,,Zoan,
98,Biblo,1134.0,Owl Library,Chief Librarian,Alive,,1,0,0,0,,0.0,,,Paramecia,
99,Big Bun,309.0,Foxy Pirates (former),Pirate,Alive,May 25,0,0,0,0,,,,,,
100,,,Yes Pirates,Pirate Captain,Alive,,0,0,0,0,,,,,,3000000.0
101,Bimine,657.0,Pucci,Mayor,Alive,,0,0,0,0,,,,,,
102,Bingoh,928.0,,Priest (former),Alive,,0,0,0,0,,,,,,
103,Birdy,101.0,Poseidon,,Alive,,0,0,0,0,,,,,,
104,Bishamon,931.0,Beasts Pirates,Ninja,Alive,August 1,0,0,0,0,Grand Line,28.0,182.0,XF,,
105,Bishonure-Onna,998.0,Beasts Pirates,Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
106,Bisley,993.0,Beasts Pirates (Armored Division),Shinuchi,Alive,,1,0,0,0,,,,,Artificial Zoan,
107,Beeyo,658.0,,,Alive,,0,0,0,0,,,,,,
108,Bizarre,553.0,Subordinate of the Whitebeard Pirates,Pirate,Alive,February 3,0,0,0,0,,,,,,
109,,,,,,,0,0,0,0,,,,,,
110,Bjorn,1134.0,Walrus School,Student,Alive,,0,0,0,0,,,,,,
111,Black Maria,977.0,Beasts Pirates (Tobiroppo),Shinuchi,Alive,September 24,1,1,1,0,Grand Line,29.0,820.0,S,Ancient Zoan,480000000.0
112,BBBB,805.0,Mokomo Dukedom,Guardian,Alive,,0,0,0,0,,,,,,
113,Blade,1142.0,Walrus School,Math Teacher,Alive,,0,0,0,0,,,,,,
114,Blakey,649.0,Fish-Man Island,Drummer,Alive,,0,0,0,0,Grand Line,,,,,
115,Blamenco,553.0,Whitebeard Pirates,6th Division Commander,Alive,February 5,1,0,0,0,South Blue,,,,Paramecia,
116,Blenheim,553.0,Whitebeard Pirates,9th Division Commander ,Alive,August 6,0,0,0,0,Grand Line,,,,,
117,Blondie,558.0,Subordinate of the Whitebeard Pirates,Pirate,Alive,February 6,0,0,0,0,,,,,,
118,Bluefan,516.0,Kuja Pirates,Pirate,Alive,July 11,0,0,0,0,Calm Belt,,,,,
119,Blue Gilly,706.0,Ideo Pirates,"Martial Artist, Pirate",Alive,November 27,0,0,0,0,Grand Line,24.0,314.0,S,,
120,Bluegrass,1089.0,Marines,Vice Admiral,Alive,,1,0,0,0,,76.0,,,Paramecia,0.0
121,Bluejam,584.0,Bluejam Pirates,Pirate,Unknown,February 16,0,0,0,0,East Blue,42.0,261.0,X,,14300000.0
122,Blueno,325.0,CP0,Cipher Pol Agent,Alive,April 20,1,1,1,0,North Blue,30.0,258.0,X,Paramecia,
123,Bluemarine,967.0,Roger Pirates,Pirate,Unknown,,0,0,0,0,,,,,,
124,Boa Hancock,516.0,Kuja Pirates (Gorgon Sisters),Captain of the Kuja Pirates,Alive,September 2,1,1,1,1,Calm Belt,29.0,191.0,S,Paramecia,1659000000.0
125,Boa Marigold,516.0,Kuja Pirates (Gorgon Sisters),Ruler of Amazon Lily,Alive,September 5,1,1,1,0,Calm Belt,26.0,432.0,S,Zoan,40000000.0
126,Boa Sandersonia,516.0,Kuja Pirates (Gorgon Sisters),Ruler of Amazon Lily,Alive,September 3,1,1,1,0,Calm Belt,28.0,453.0,S,Zoan,40000000.0
127,Bobbin,651.0,Big Mom Pirates,Combatant,Unknown,,0,0,0,0,,,,,,105500000.0
128,Bobby Funk,704.0,Mogaro Kingdom,Assassin,Alive,February 19,0,0,0,0,Grand Line,33.0,320.0,X,,36000000.0
129,Bobomba,711.0,Tontatta Kingdom ,,Alive,,0,0,0,0,,,,,,
130,Bogard,92.0,Marines,Commissioned Marine Officer,Alive,,0,0,0,0,,38.0,,,,
131,,652.0,Marines,Marine Officer,Alive,,0,0,0,0,,,,,,
132,Bomba,711.0,Tontatta Kingdom ,"Vice Chief (副長, Fukuchō?)",Alive,August 14,0,0,0,0,,,,,,
133,Bongoh,928.0,,Lumber Dealer (former) ,Alive,,0,0,0,0,,,,,,
134,Bonk Punch,1.0,Red Hair Pirates,Pirate,Alive,,0,0,0,0,,,,,,
135,Boo,704.0,Happo Navy,First Mate of the Happo Navy,Alive,August 20,0,0,1,0,,28.0,,,,
136,Boodle,12.0,,Mayor,Alive,January 16,0,0,0,0,East Blue,73.0,172.0,F,,
137,Boogie,1038.0,Kid Pirates,Pirate,Unknown,,0,0,0,0,,,,,,
138,Borsalino,504.0,Marines,Admiral,Alive,November 23,1,1,1,0,North Blue,56.0,302.0,XF,Logia,3000000000.0
139,Supersonic Duck SquadronSuper Spot-Billed Duck Troops,,,,,,0,0,0,0,,,,,,
140,Braham,249.0,Shandia,Shandia Warrior,Alive,October 10,0,0,0,0,Sky Islands,22.0,179.0,X,,
141,Kicking Claw Force,196.0,Arabasta Kingdom,Guards,Deceased,,0,0,0,0,,,,,,
142,Brannew,96.0,Marines,Commodore,Alive,September 3,0,0,0,0,Grand Line,54.0,190.0,X,,0.0
143,Brew,561.0,Whitebeard Pirates,Pirate,Alive,,0,0,0,0,,,,,,
144,Briscola,993.0,Beasts Pirates,Shinuchi,Alive,,1,0,0,0,,,,,Artificial Zoan,
145,Brocca,561.0,Whitebeard Pirates,Pirate,Alive,,0,0,0,0,,,,,,
146,Brogy,115.0,Giant Warrior Pirates,Pirate Captain,Alive,February 1,0,0,0,0,Grand Line,158.0,2130.0,F,,1800000000.0
147,Brontosaurus,115.0,,,Deceased,November 19,0,0,0,0,Grand Line,,,,,
148,Brook,442.0,Straw Hat Pirates,Musician,Alive,April 3,1,0,0,0,West Blue,90.0,277.0,X,Paramecia,383000000.0
149,Bubblegum,1029.0,Kid Pirates,Pirate,Unknown,,0,0,0,0,,,,,,
150,Bouche,880.0,WCI 31,Head Chef,Alive,,0,0,0,0,,,,,,
151,ButchieBuchi,31.0,Black Cat Pirates,Pirate Officer,Alive,February 7,0,0,0,0,East Blue,21.0,216.0,X,,7000000.0
152,Buckingham Stussy,802.0,Rocks Pirates (former),Pirate (former),Alive,April 12,0,0,0,0,Grand Line,76.0,68.0,S,,
153,Buffalo,692.0,Donquixote Pirates,Pirate Officer,Alive,April 8,1,0,0,0,North Blue,30.0,696.0,F,Paramecia,
154,Buggy,9.0,Cross Guild,Pirate Captain,Alive,August 8,1,0,0,0,Grand Line,39.0,130.0,F,Paramecia,3189000000.0
155,Oinkchuck,446.0,Thriller Bark Pirates,Surprise Zombie Boss,Deceased,,0,0,0,0,,,,,,
156,Building Snake,41.0,Red Hair Pirates,Pirate,Alive,,0,0,0,0,,,,,,
157,Bulldog,1099.0,Sorbet Kingdom,King,Alive,,0,0,0,0,,,,,,
158,Bunbuku,911.0,Tenguyama Hitetsu,,Alive,,1,0,0,0,,,,,Zoan,
159,Bungoh,928.0,,Arsonist,Alive,,0,0,0,0,,,,,,
160,Bunny Joe,546.0,Revolutionary Army,Revolutionary,Alive,,0,0,0,0,,,,,,
161,Bushon,361.0,Water 7,Station Manager,Alive,,0,0,0,0,,,,,,
162,Busshiri,391.0,Ohara Archaeologists,Archaeologist,Deceased,,0,0,0,0,,,,,,
163,Byron,501.0,,Musician,Alive,December 18,0,0,0,0,West Blue,25.0,192.0,,,
164,Cabaji,9.0,Cross Guild,Pirate,Alive,September 8,0,0,0,0,East Blue,32.0,208.0,X,,
165,Caesar Clown,658.0,NEO MADS,Scientist,Alive,April 9,1,0,0,0,Grand Line,55.0,309.0,X,Logia,300000000.0
166,Caiman Lady,1004.0,Beasts Pirates,Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
167,Camie,195.0,"Takoyaki 8, Mermaid Cafe",Fashion designing apprenticeTakoyaki sellerWaitress at Mermaid Cafe,Alive,November 3,0,0,0,0,Grand Line,16.0,197.0,X,,
168,Camel,695.0,Blackbeard Pirates (former),Kuzan's traveling companion (former),Alive,,0,0,0,0,,,,,,
169,Cancer,96.0,Marines,Vice Admiral,Alive,,0,0,0,0,,,,,,0.0
170,Kandre,557.0,Marines,Marine Officer,Alive,May 19,0,0,0,0,,30.0,,,,
171,Cans,569.0,Ally of the Whitebeard Pirates,Pirate,Alive,,0,0,0,0,,,,,,
172,Candy,510.0,Candy Pirates,Pirate Captain,Unknown,June 14,0,0,0,0,Grand Line,,,,,
173,Capone Bege,498.0,Fire Tank Pirates,Pirate,Alive,January 17,1,0,0,0,West Blue,40.0,166.0,S,Paramecia,350000000.0
174,Capone Pez,834.0,Fire Tank Pirates,,Alive,January 22,0,0,0,0,,1.0,,,,
175,Capote,306.0,Foxy Pirates (former),Pirate,Alive,May 1,0,0,0,0,,,,,,
176,Caribou,600.0,Caribou Pirates,Pirate Captain,Alive,July 4,1,0,0,0,North Blue,32.0,228.0,XF,Logia,210000000.0
177,Carmel,861.0,Underworld,Child Trafficker,Deceased,December 21,1,0,0,0,West Blue,,185.0,S,Paramecia,
178,CarneCarny,45.0,Baratie,Charcutier,Alive,February 9,0,0,0,0,East Blue,32.0,171.0,S,,
179,Carrot,804.0,"Mokomo Dukedom, Inuarashi Musketeer Squad",Ruler of Mokomo Dukedom,Alive,May 24,0,0,0,0,Grand Line,15.0,161.0,F,,
180,Catacombo,602.0,Marines  (GR 66) (Non-Canon) ≠,Rear Admiral,Alive,,0,0,0,0,,,,,,0.0
181,Catarina Devon,575.0,Blackbeard Pirates,Titanic Captain (Captain of the Sixth Ship),Alive,March 29,1,0,0,0,South Blue,34.0,361.0,F,Mythical Zoan,0.0
182,Caucasus-Man,993.0,Beasts Pirates (Armored Division),Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
183,Cavendish,704.0,Beautiful Pirates,Captain of the First Ship of the Straw Hat Grand Fleet,Alive,August 31,0,1,1,0,Grand Line,26.0,208.0,XF,,330000000.0
184,CB Gallant,966.0,Roger Pirates,Pirate,Unknown,,0,0,0,0,,,,,,
185,Cerberus,444.0,Thriller Bark Pirates,Wild Zombie,Deceased,November 29,0,0,0,0,,,,,,
186,Cerberus,1137.0,Knights of God,Figarland Shamrock's sword,Alive,,0,0,0,0,,,,,,
187,Cezar,823.0,Levely,King,Alive,,0,0,0,0,,,,,,
188,Chabo,69.0,Nojiko's mikan farm,Laborer,Alive,June 14,0,0,0,0,East Blue,,,,,
189,Browndros BeardriguezChadros Higelyges,581.0,"Caesar Clown (defected),  Centaur Patrol Unit  (defected)",Leader of the Centaur Patrol Unit  (former),Alive,February 3,0,0,0,0,Grand Line,43.0,691.0,S,,80060000.0
190,Chaka,155.0,Arabasta Kingdom,Commander of Royal Guards,Alive,April 26,1,0,0,0,Grand Line,39.0,213.0,S,Zoan,
191,Chao,738.0,Tontatta Kingdom,Factory worker (former) ,Alive,,0,0,0,0,,,,,,
192,Chap,823.0,Levely,King,Alive,,0,0,0,0,,,,,,
193,Chappe,668.0,Caesar Clown (former),,Alive,,0,0,0,0,,,,,,
194,Charlotte Akimeg,894.0,Charlotte Family (Charlotte Decuplets),Pirate,Alive,December 2,0,0,0,0,,18.0,,,,
195,Charlotte Allmeg,894.0,Charlotte Family (Charlotte Decuplets),Pirate,Alive,December 2,0,0,0,0,,18.0,,,,
196,Charlotte Amande,827.0,Charlotte Family,Pirate Officer,Alive,December 10,0,0,0,0,,47.0,,,,0.0
197,Charlotte Anana,845.0,Charlotte Family,,Alive,April 17,0,0,0,0,,8.0,,,,
198,Charlotte Angel,860.0,Charlotte Family,Pirate Officer,Alive,February 28,0,0,0,0,Grand Line,45.0,,,,
199,Charlotte Anglaise,845.0,Charlotte Family,,Alive,October 19,0,0,0,0,,14.0,,,,
200,Charlotte Basans,862.0,Charlotte Family,Pirate Officer,Alive,,0,0,0,0,,34.0,,,,
201,Charlotte Bassquarte,860.0,Charlotte Family,Pirate Officer,Alive,January 23,0,0,0,0,,42.0,,,,
202,Charlotte Bavarois,888.0,Charlotte Family,Pirate Officer,Alive,October 29,0,0,0,0,,30.0,,,,
203,Charlotte Brownie,845.0,Charlotte Family,Officer,Alive,,0,0,0,0,,24.0,,,,
204,Charlotte Broye,864.0,Charlotte Family,Pirate Officer,Alive,March 6,0,0,0,0,Grand Line,43.0,,,,
205,Charlotte Brulee,831.0,Charlotte Family,Pirate Officer,Alive,March 6,1,0,0,0,Grand Line,43.0,350.0,S,Paramecia,
206,Charlotte Cabaletta,845.0,Charlotte Family,Pirate Officer,Alive,September 29,0,0,1,0,,46.0,,,,
207,Charlotte Cadenza,845.0,Charlotte Family,Pirate Officer,Alive,September 29,0,0,1,0,,46.0,,,,
208,Charlotte Chiboust,894.0,Charlotte Family,Pirate Officer,Alive,,0,0,0,0,,27.0,,,,
209,Charlotte Chiffon,825.0,Fire Tank Pirates,Cook,Alive,January 27,0,0,0,0,Grand Line,26.0,215.0,F,,
210,Charlotte Cinnamon,860.0,Charlotte Family,Pirate Officer,Alive,October 12,0,0,0,0,Grand Line,35.0,,,,
211,Charlotte Citron,861.0,Charlotte Family,Pirate Officer,Alive,October 12,0,0,0,0,Grand Line,35.0,,,,
212,Charlotte Compo,864.0,Charlotte Family,Pirate Officer,Alive,,0,0,0,0,,39.0,,,,
213,Charlotte Compote,860.0,Charlotte Family,Pirate Officer,Alive,October 15,0,0,0,0,,49.0,,,,
214,Charlotte Cornstarch,865.0,Charlotte Family,Pirate Officer,Alive,December 16,0,0,0,0,,40.0,,,,
215,Charlotte Counter,845.0,Charlotte Family,Pirate Officer,Alive,September 29,0,0,1,0,,46.0,,,,
216,Charlotte Cracker,835.0,Charlotte Family,Sweet Commander,Alive,February 28,1,1,1,0,Grand Line,45.0,307.0,X,Paramecia,860000000.0
217,Charlotte Custard,862.0,Charlotte Family,Pirate Officer,Alive,February 28,0,0,0,0,Grand Line,45.0,,,,
218,Charlotte Dacquoise,854.0,Charlotte Family,Pirate Officer,Alive,,0,0,0,0,,32.0,,,,
219,Charlotte Daifuku,861.0,Charlotte Family,Pirate Officer,Alive,November 25,1,1,1,0,Grand Line,48.0,489.0,X,Paramecia,300000000.0
220,Charlotte De-Chat,845.0,Charlotte Family,,Alive,,0,0,0,0,,11.0,,,,
221,Charlotte Dolce and Dragée,845.0,Charlotte Family,,Alive,February 21,0,0,0,0,,9.0,,,,
222,Charlotte Dosmarche,861.0,Charlotte Family,Pirate Officer,Alive,January 23,0,0,0,0,,42.0,,,,
223,Charlotte Dolce and Dragée,845.0,Charlotte Family,,Alive,February 21,0,0,0,0,,9.0,,,,
224,Charlotte Effiler,864.0,Charlotte Family,Pirate Officer,Alive,December 10,0,0,0,0,,47.0,,,,
225,Charlotte Flampe,891.0,Charlotte Family,Pirate Officer,Alive,February 11,0,0,0,0,Grand Line,15.0,170.0,S,,
226,Charlotte Fuyumeg,894.0,Charlotte Family (Charlotte Decuplets),Pirate,Alive,December 2,0,0,0,0,,18.0,,,,
227,Charlotte Gala,,Charlotte Family,,Alive,September 29,0,0,0,0,,46.0,,,,
228,Charlotte Galette,829.0,Charlotte Family,Pirate Officer,Alive,October 19,1,0,0,0,,31.0,,,Paramecia,
229,Charlotte Hachee,871.0,Charlotte Family,Pirate Officer,Alive,December 10,0,0,0,0,,47.0,,,,
230,Charlotte Harumeg,894.0,Charlotte Family (Charlotte Decuplets),Pirate,Alive,December 2,0,0,0,0,,18.0,,,,
231,Charlotte High-Fat,862.0,Charlotte Family,Pirate Officer,Alive,,0,0,0,0,,36.0,,,,
232,Charlotte Joconde,894.0,Charlotte Family,Pirate Officer,Alive,,0,0,0,0,,23.0,,,,
233,Charlotte Joscarpone,845.0,Charlotte Family,Pirate Officer,Alive,February 27,0,0,0,0,,20.0,,,,
234,Charlotte Kanten,862.0,Charlotte Family,Pirate Officer,Alive,,0,0,0,0,,28.0,,,,
235,Charlotte Katakuri,860.0,Charlotte Family,Sweet Commander,Alive,November 25,1,1,1,1,Grand Line,48.0,509.0,XF,Special Paramecia,1057000000.0
236,Kato,854.0,Charlotte Family,Pirate Officer,Alive,,0,0,0,0,,28.0,,,,
237,Charlotte Laurin,864.0,Charlotte Family,Pirate Officer,Alive,,0,0,0,0,,39.0,,,,
238,Charlotte Linlin,651.0,Big Mom Pirates,Pirate Captain,Unknown,February 15,1,1,1,1,Grand Line,68.0,880.0,X,Paramecia,4388000000.0
239,Charlotte Lola,476.0,Rolling Pirates,Pirate Captain,Alive,January 27,0,0,0,0,Grand Line,24.0,215.0,F,,24000000.0
240,Charlotte Maple,897.0,Charlotte Family,Pirate Officer,Alive,November 17,0,0,0,0,,25.0,,,,
241,Charlotte Marble,894.0,Charlotte Family,Pirate Officer,Alive,November 17,0,0,0,0,,25.0,,,,
242,Charlotte Marnier,861.0,Charlotte Family,Pirate Officer,Alive,December 20,0,0,0,0,,37.0,,,,
243,Charlotte Mascarpone,845.0,Charlotte Family,Pirate Officer,Alive,February 27,0,0,0,0,,20.0,,,,
244,Charlotte Mash,865.0,Charlotte Family,Pirate Officer,Alive,December 16,0,0,0,0,,40.0,,,,
245,Charlotte Melise,854.0,Charlotte Family,Pirate Officer,Alive,,0,0,0,0,,33.0,,,,
