,Official English Name,Debut,Affiliations,Occupations,Status,Birthday,Devil Fruit,Observation Haki,Armament Haki,Conquerers Haki,Origin,Age,Height,Blood Type,Fruit Type,Bounty
115,Blakey,649.0,['Fish-Man Island'],Drummer,Alive,,0,0,0,0,Grand Line,,,,,
116,Blamenco,553.0,['Whitebeard Pirates'],6th Division Commander,Alive,February 5,1,0,0,0,South Blue,,,,Paramecia,
117,Blenheim,553.0,['Whitebeard Pirates'],9th Division Commander ,Alive,August 6,0,0,0,0,Grand Line,,,,,
118,Blondie,558.0,['Subordinate of the Whitebeard Pirates'],Pirate,Alive,February 6,0,0,0,0,,,,,,
119,Bluefan,516.0,['Kuja Pirates'],Pirate,Alive,July 11,0,0,0,0,Calm Belt,,,,,
120,Blue Gilly,706.0,"['Ideo Pirates', '   Straw Hat Grand Fleet']","Martial Artist, Pirate",Alive,November 27,0,0,0,0,Grand Line,24.0,314.0,S,,
121,Bluegrass,1089.0,['Marines'],Vice Admiral,Alive,,1,0,0,0,,76.0,,,Paramecia,500000000.0
122,Bluejam,584.0,['Bluejam Pirates'],Pirate,Unknown,February 16,0,0,0,0,East Blue,42.0,261.0,X,,14300000.0
123,Blueno,325.0,"['CP0', '  CP9  (former)']",Cipher Pol Agent,Alive,April 20,1,1,1,0,North Blue,30.0,258.0,X,Paramecia,
124,Bluemarine,967.0,['Roger Pirates'],Pirate,Unknown,,0,0,0,0,,,,,,
125,Boa Hancock,516.0,"['Kuja Pirates (Gorgon Sisters)', 'Seven Warlords of the Sea (former)']",Captain of the Kuja Pirates,Alive,September 2,1,1,1,1,Calm Belt,29.0,191.0,S,Paramecia,1659000000.0
126,Boa Marigold,516.0,['Kuja Pirates (Gorgon Sisters)'],Ruler of Amazon Lily,Alive,September 5,1,1,1,0,Calm Belt,26.0,432.0,S,Zoan,40000000.0
127,Boa Sandersonia,516.0,['Kuja Pirates (Gorgon Sisters)'],Ruler of Amazon Lily,Alive,September 3,1,1,1,0,Calm Belt,28.0,453.0,S,Zoan,40000000.0
128,Bobbin,651.0,['Big Mom Pirates'],Combatant,Unknown,,0,0,0,0,,,,,,105500000.0
129,Bobby Funk,704.0,['Mogaro Kingdom'],Assassin,Alive,February 19,0,0,0,0,Grand Line,33.0,320.0,X,,36000000.0
130,Bobomba,711.0,"['Tontatta Kingdom ', ' Straw Hat Grand Fleet (Tontatta Pirates)']",,Alive,,0,0,0,0,,,,,,
131,Bogard,92.0,['Marines'],Commissioned Marine Officer,Alive,,0,0,0,0,,38.0,,,,
132,,652.0,"['Marines', ' G-5']",Marine Officer,Alive,,0,0,0,0,,,,,,
133,Bomba,711.0,"['Tontatta Kingdom ', ' Tontatta Pirates', '  Straw Hat Grand Fleet']","Vice Chief (副長, Fukuchō?)",Alive,August 14,0,0,0,0,,,,,,
134,Bongoh,928.0,,Lumber Dealer (former) ,Alive,,0,0,0,0,,,,,,
135,Bonk Punch,1.0,['Red Hair Pirates'],Pirate,Alive,,0,0,0,0,,,,,,
136,Boo,704.0,"['Happo Navy', ' Chinjao Family', ' Straw Hat Grand Fleet']",First Mate of the Happo Navy,Alive,August 20,0,0,1,0,,28.0,,,,
137,Boodle,12.0,,Mayor,Alive,January 16,0,0,0,0,East Blue,73.0,172.0,F,,
138,Boogie,1038.0,['Kid Pirates'],Pirate,Unknown,,0,0,0,0,,,,,,
139,Borsalino,504.0,['Marines'],Admiral,Alive,November 23,1,1,1,0,North Blue,56.0,302.0,XF,Logia,3000000000.0
140,Supersonic Duck SquadronSuper Spot-Billed Duck Troops,,,,,,0,0,0,0,,,,,,
141,Braham,249.0,"['Shandia', "" God's Guards""]",Shandia Warrior,Alive,October 10,0,0,0,0,Sky Islands,22.0,179.0,X,,
142,Kicking Claw Force,196.0,['Arabasta Kingdom'],Guards,Deceased,,0,0,0,0,,,,,,
143,Brannew,96.0,['Marines'],Commodore,Alive,September 3,0,0,0,0,Grand Line,54.0,190.0,X,,100000000.0
144,Brew,561.0,['Whitebeard Pirates'],Pirate,Alive,,0,0,0,0,,,,,,
145,Briscola,993.0,['Beasts Pirates'],Shinuchi,Alive,,1,0,0,0,,,,,Artificial Zoan,
146,Brocca,561.0,['Whitebeard Pirates'],Pirate,Alive,,0,0,0,0,,,,,,
147,Brogy,115.0,['Giant Warrior Pirates'],Pirate Captain,Alive,February 1,0,0,0,0,Grand Line,158.0,2130.0,F,,1800000000.0
148,Brontosaurus,115.0,,,Deceased,November 19,0,0,0,0,Grand Line,,,,,
149,Brook,442.0,"['Straw Hat Pirates', 'Straw Hat Grand Fleet', 'Rumbar Pirates (former)', ' Ninja-Pirate-Mink-Samurai Alliance (disbanded)']",Musician,Alive,April 3,1,0,0,0,West Blue,90.0,277.0,X,Paramecia,383000000.0
150,Bubblegum,1029.0,['Kid Pirates'],Pirate,Unknown,,0,0,0,0,,,,,,
151,Bouche,880.0,"['WCI 31', ' Big Mom Pirates']",Head Chef,Alive,,0,0,0,0,,,,,,
152,ButchieBuchi,31.0,['Black Cat Pirates'],Pirate Officer,Alive,February 7,0,0,0,0,East Blue,21.0,216.0,X,,7000000.0
153,Buckingham Stussy,802.0,"['Rocks Pirates (former)', '  MADS (former)']",Pirate (former),Alive,April 12,0,0,0,0,Grand Line,76.0,68.0,S,,
154,Buffalo,692.0,['Donquixote Pirates'],Pirate Officer,Alive,April 8,1,0,0,0,North Blue,30.0,696.0,F,Paramecia,
155,Buggy,9.0,"['Cross Guild', "" Buggy's Delivery (Unknown status)\xa0? "", 'Buggy Pirates', ' Buggy and Alvida Alliance', ' Four Emperors', ' Seven Warlords of the Sea  (former)', 'Roger Pirates  (former)', 'Impel Down  (former)']",Pirate Captain,Alive,August 8,1,0,0,0,Grand Line,39.0,130.0,F,Paramecia,3189000000.0
156,Oinkchuck,446.0,['Thriller Bark Pirates'],Surprise Zombie Boss,Deceased,,0,0,0,0,,,,,,
157,Building Snake,41.0,['Red Hair Pirates'],Pirate,Alive,,0,0,0,0,,,,,,
158,Bulldog,1099.0,['Sorbet Kingdom'],King,Alive,,0,0,0,0,,,,,,
159,Bunbuku,911.0,['Tenguyama Hitetsu'],,Alive,,1,0,0,0,,,,,Zoan,
160,Bungoh,928.0,,Arsonist,Alive,,0,0,0,0,,,,,,
161,Bunny Joe,546.0,['Revolutionary Army'],Revolutionary,Alive,,0,0,0,0,,,,,,
162,Bushon,361.0,['Water 7'],Station Manager,Alive,,0,0,0,0,,,,,,
163,Busshiri,391.0,['Ohara Archaeologists'],Archaeologist,Deceased,,0,0,0,0,,,,,,
164,Byron,501.0,,Musician,Alive,December 18,0,0,0,0,West Blue,25.0,192.0,,,
165,Cabaji,9.0,"['Cross Guild', ""  Buggy's Delivery"", ' Buggy and Alvida Alliance, Buggy Pirates']",Pirate,Alive,September 8,0,0,0,0,East Blue,32.0,208.0,X,,
166,Caesar Clown,658.0,"['NEO MADS', '  Donquixote Pirates (former)', '   Marines (former)', '  MADS (former)']",Scientist,Alive,April 9,1,0,0,0,Grand Line,55.0,309.0,X,Logia,300000000.0
167,Caiman Lady,1004.0,['Beasts Pirates'],Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
168,Camie,195.0,"['Takoyaki 8, Mermaid Cafe']",Fashion designing apprenticeTakoyaki sellerWaitress at Mermaid Cafe,Alive,November 3,0,0,0,0,Grand Line,16.0,197.0,X,,
169,Camel,695.0,"['Blackbeard Pirates (former)', ' Kuzan (former)']",Kuzan's traveling companion (former),Alive,,0,0,0,0,,,,,,
170,Cancer,96.0,['Marines'],Vice Admiral,Alive,,0,0,0,0,,,,,,500000000.0
171,Kandre,557.0,['Marines'],Marine Officer,Alive,May 19,0,0,0,0,,30.0,,,,
172,Cans,569.0,['Ally of the Whitebeard Pirates'],Pirate,Alive,,0,0,0,0,,,,,,
173,Candy,510.0,['Candy Pirates'],Pirate Captain,Unknown,June 14,0,0,0,0,Grand Line,,,,,
174,Capone Bege,498.0,"['Fire Tank Pirates', '  Big Mom Pirates  (former)']",Pirate,Alive,January 17,1,0,0,0,West Blue,40.0,166.0,S,Paramecia,350000000.0
175,Capone Pez,834.0,"['Fire Tank Pirates', ' Charlotte Family']",,Alive,January 22,0,0,0,0,,1.0,,,,
176,Capote,306.0,['Foxy Pirates (former)'],Pirate,Alive,May 1,0,0,0,0,,,,,,
177,Caribou,600.0,"['Caribou Pirates', '  Fake Straw Hat Crew (former, temporary)', '  Ninja-Pirate-Mink-Samurai Alliance(disbanded)']",Pirate Captain,Alive,July 4,1,0,0,0,North Blue,32.0,228.0,XF,Logia,210000000.0
178,Carmel,861.0,"['Underworld', ""  Sheep's House""]",Child Trafficker,Deceased,December 21,1,0,0,0,West Blue,,185.0,S,Paramecia,
179,CarneCarny,45.0,['Baratie'],Charcutier,Alive,February 9,0,0,0,0,East Blue,32.0,171.0,S,,
180,Carrot,804.0,"['Mokomo Dukedom, Inuarashi Musketeer Squad', '  Ninja-Pirate-Mink-Samurai Alliance (disbanded)']",Ruler of Mokomo Dukedom,Alive,May 24,0,0,0,0,Grand Line,15.0,161.0,F,,
181,Catacombo,602.0,['Marines  (GR 66) (Non-Canon)\xa0≠'],Rear Admiral,Alive,,0,0,0,0,,,,,,200000000.0
182,Catarina Devon,575.0,"['Blackbeard Pirates', ' Impel Down (former)']",Titanic Captain (Captain of the Sixth Ship),Alive,March 29,1,0,0,0,South Blue,34.0,361.0,F,Mythical Zoan,0.0
183,Caucasus-Man,993.0,"['Beasts Pirates (Armored Division)', '  Kurozumi Tama']",Gifter,Alive,,1,0,0,0,,,,,Artificial Zoan,
184,Cavendish,704.0,"['Beautiful Pirates', '  Straw Hat Grand Fleet', '  Bourgeois Kingdom']",Captain of the First Ship of the Straw Hat Grand Fleet,Alive,August 31,0,1,1,0,Grand Line,26.0,208.0,XF,,330000000.0
185,CB Gallant,966.0,['Roger Pirates'],Pirate,Unknown,,0,0,0,0,,,,,,
186,Cerberus,444.0,['Thriller Bark Pirates'],Wild Zombie,Deceased,November 29,0,0,0,0,,,,,,
187,Cerberus,1137.0,['Knights of God'],Figarland Shamrock's sword,Alive,,0,0,0,0,,,,,,
188,Cezar,823.0,['Levely'],King,Alive,,0,0,0,0,,,,,,
189,Chabo,69.0,"[""Nojiko's mikan farm""]",Laborer,Alive,June 14,0,0,0,0,East Blue,,,,,
190,Browndros BeardriguezChadros Higelyges,581.0,"['Caesar Clown (defected),  Centaur Patrol Unit  (defected)', ' Brownbeard Pirates  (disbanded)']",Leader of the Centaur Patrol Unit  (former),Alive,February 3,0,0,0,0,Grand Line,43.0,691.0,S,,80060000.0
191,Chaka,155.0,['Arabasta Kingdom'],Commander of Royal Guards,Alive,April 26,1,0,0,0,Grand Line,39.0,213.0,S,Zoan,
192,Chao,738.0,"['Tontatta Kingdom', '  SMILE Factory (former)', '  Tontatta Pirates']",Factory worker (former) ,Alive,,0,0,0,0,,,,,,
193,Chap,823.0,['Levely'],King,Alive,,0,0,0,0,,,,,,
194,Chappe,668.0,"['Caesar Clown (former)', ' Centaur Patrol Unit (former)']",,Alive,,0,0,0,0,,,,,,
195,Charlotte Akimeg,894.0,"['Charlotte Family (Charlotte Decuplets)', ' Big Mom Pirates']",Pirate,Alive,December 2,0,0,0,0,,18.0,,,,
196,Charlotte Allmeg,894.0,"['Charlotte Family (Charlotte Decuplets)', ' Big Mom Pirates']",Pirate,Alive,December 2,0,0,0,0,,18.0,,,,
197,Charlotte Amande,827.0,"['Charlotte Family', '  Big Mom Pirates']",Pirate Officer,Alive,December 10,0,0,0,0,,47.0,,,,0.0
198,Charlotte Anana,845.0,"['Charlotte Family', '  Big Mom Pirates']",,Alive,April 17,0,0,0,0,,8.0,,,,
199,Charlotte Angel,860.0,"['Charlotte Family', ' Big Mom Pirates']",Pirate Officer,Alive,February 28,0,0,0,0,Grand Line,45.0,,,,
200,Charlotte Anglaise,845.0,"['Charlotte Family', '  Big Mom Pirates']",,Alive,October 19,0,0,0,0,,14.0,,,,
201,Charlotte Basans,862.0,"['Charlotte Family', '  Big Mom Pirates']",Pirate Officer,Alive,,0,0,0,0,,34.0,,,,
202,Charlotte Bassquarte,860.0,"['Charlotte Family', ' Big Mom Pirates']",Pirate Officer,Alive,January 23,0,0,0,0,,42.0,,,,
203,Charlotte Bavarois,888.0,"['Charlotte Family', '  Big Mom Pirates']",Pirate Officer,Alive,October 29,0,0,0,0,,30.0,,,,
204,Charlotte Brownie,845.0,"['Charlotte Family', ' Big Mom Pirates']",Officer,Alive,,0,0,0,0,,24.0,,,,
205,Charlotte Broye,864.0,"['Charlotte Family', ' Big Mom Pirates']",Pirate Officer,Alive,March 6,0,0,0,0,Grand Line,43.0,,,,
206,Charlotte Brulee,831.0,"['Charlotte Family', '  Big Mom Pirates']",Pirate Officer,Alive,March 6,1,0,0,0,Grand Line,43.0,350.0,S,Paramecia,
207,Charlotte Cabaletta,845.0,"['Charlotte Family', '  Big Mom Pirates']",Pirate Officer,Alive,September 29,0,0,1,0,,46.0,,,,
208,Charlotte Cadenza,845.0,"['Charlotte Family', '  Big Mom Pirates']",Pirate Officer,Alive,September 29,0,0,1,0,,46.0,,,,
209,Charlotte Chiboust,894.0,"['Charlotte Family', ' Big Mom Pirates']",Pirate Officer,Alive,,0,0,0,0,,27.0,,,,
210,Charlotte Chiffon,825.0,"['Fire Tank Pirates', ' Charlotte Family (defected)']",Cook,Alive,January 27,0,0,0,0,Grand Line,26.0,215.0,F,,
211,Charlotte Cinnamon,860.0,"['Charlotte Family', ' Big Mom Pirates']",Pirate Officer,Alive,October 12,0,0,0,0,Grand Line,35.0,,,,
