,Official English Name,affiliation,member
145,Chuchun,Foxy Pirates,1
146,Clione,Heart Pirates,1
147,Compo,Kid Pirates,1
148,Coribou,Caribou Pirates,1
149,Cosmos,Kuja Pirates,1
150,Cotton,Tontatta Pirates,1
151,Crocodile,Cross Guild,1
152,Crone Oli,Red Hair Pirates,1
153,Cub,Tontatta Pirates,1
154,Daifugo,Beasts Pirates,1
155,Daikoku,Beasts Pirates,1
156,Daisy,Kuja Pirates,1
157,Daruma,New Fish-Man Pirates,1
158,Daz Bonez,Cross Guild,1
159,Decuplets,Big Mom Pirates,1
160,Decuplets,Big Mom Pirates,1
161,Decuplets,Big Mom Pirates,1
162,Decuplets,Big Mom Pirates,1
163,Devil Dias,Acumate Pirates,1
164,Diesel,Big Mom Pirates,1
165,Disc J,Kid Pirates,1
166,Dive,Kid Pirates,1
167,Django,Black Cat Pirates,1
168,Dobon,Beasts Pirates,1
169,Doc Q,Blackbeard Pirates,1
170,Donannoyo,Beasts Pirates,1
171,Donovan,Foxy Pirates,1
172,Dorry,Giant Warrior Pirates,1
173,Dosun,New Fish-Man Pirates,1
174,Doubt Brothers,Beasts Pirates,1
175,Dr. Noshirtkutz Tofayme,Germ Pirates,1
176,Dracule Mihawk,Cross Guild,1
177,Eggplant Soldier,Big Mom Pirates,1
178,Emma,Kid Pirates,1
179,Eureka,Tulip Pirates,1
180,Eustass Kid,Kid Pirates,1
181,Farul,Beautiful Pirates,1
182,Faust,Hawkins Pirates,1
183,Fourtricks,Beasts Pirates,1
184,Foxy,Foxy Pirates,1
185,Franky,Straw Hat Pirates,1
186,Fuga,Beasts Pirates,1
187,Fugar,Red Hair Pirates,1
188,Fujin,Beasts Pirates,1
189,Fukurokuju,Beasts Pirates,1
190,Gabu,Red Hair Pirates,1
191,Galdino,Cross Guild,1
192,Galdino,Buggy Pirates,1
193,Gangaru,Beasts Pirates,1
194,Ganzui,Thriller Bark Pirates,1
195,Garudan,Beasts Pirates,1
196,Gary,Gally Pirates,1
197,Gazelle-Man,Beasts Pirates,1
198,Gecko Moria,Thriller Bark Pirates,1
199,George Mach,Foxy Pirates,1
200,Gerd,New Giant Warrior Pirates,1
201,Gig,Kid Pirates,1
202,Gill Bastar,Thriller Bark Pirates,1
203,Gina,Foxy Pirates,1
204,Ginrummy,Beasts Pirates,1
205,Gloriosa,Kuja Pirates,1
206,Gohngeddit Juanpeace,Germ Pirates,1
207,Goki,Beasts Pirates,1
208,Goldberg,New Giant Warrior Pirates,1
209,Gorishiro,Beasts Pirates,1
210,Gotti,Fire Tank Pirates,1
211,Grasshopper-Man,Beasts Pirates,1
212,Gyaro,Macro Pirates,1
213,Gyogyo,Bonney Pirates,1
214,Gyoro,Thriller Bark Pirates,1
215,"Gyoro, Nin, Bao",Thriller Bark Pirates,1
216,"Gyoro, Nin, Bao",Thriller Bark Pirates,1
217,Gyro,New Fish-Man Pirates,1
218,Gyro,Gyro Pirates,1
219,Haccha,Beasts Pirates,1
220,Hajrudin,New Giant Warrior Pirates,1
221,Hakugan,Heart Pirates,1
222,Hamburg,Foxy Pirates,1
223,Hamlet,Beasts Pirates,1
224,Hammond,New Fish-Man Pirates,1
225,Hanzo,Beasts Pirates,1
226,Hatsume,Beasts Pirates,1
227,Hawk-Man,Beasts Pirates,1
228,Heat,Kid Pirates,1
229,Hera,Big Mom Pirates,1
230,Hera,Big Mom Pirates,1
231,Hihimaru,Beasts Pirates,1
232,Hildon,Thriller Bark Pirates,1
233,Himuro,Beasts Pirates,1
234,Hip,Kid Pirates,1
235,Hippan Natte,Beasts Pirates,1
236,Hippie,Endurance Curry Pirates,1
237,Hippo Gallant,Thriller Bark Pirates,1
238,Hiro Gomon,Endurance Curry Pirates,1
239,Hitchinfra Itchin,Germ Pirates,1
240,Hogback,Thriller Bark Pirates,1
241,Holdem,Beasts Pirates,1
242,Hongo,Red Hair Pirates,1
243,Hop,Kid Pirates,1
244,Hordy JonesHody Jones,New Fish-Man Pirates,1
245,Hordy JonesHody Jones,Flying Pirates,1
246,Horse-Man,Beasts Pirates,1
247,Hotei,Beasts Pirates,1
248,House,Kid Pirates,1
249,Hyouzou,New Fish-Man Pirates,1
250,Ibiributsu,Beasts Pirates,1
251,Ideo,Ideo Pirates,1
252,Ikaros Much,New Fish-Man Pirates,1
253,Ikkaku,Heart Pirates,1
254,Ikkaku,Heart Pirates,1
255,Inbi,Beasts Pirates,1
256,Indigo,Golden Lion Pirates,1
257,Inhel,Tontatta Pirates,1
258,Itomimizu,Foxy Pirates,1
259,Jack,Beasts Pirates,1
260,Jagger,Kid Pirates,1
261,Jaki,Beasts Pirates,1
262,Jarul,Giant Warrior Pirates,1
263,Jean Bart,Heart Pirates,1
264,Jean Noueilles,New Fish-Man Pirates,1
265,Jesus Burgess,Blackbeard Pirates,1
266,Jet,Ideo Pirates,1
267,Jewelry Bonney,Bonney Pirates,1
268,Jigoku-Benten,Beasts Pirates,1
269,Jigoro,Thriller Bark Pirates,1
270,Jinbe,Straw Hat Pirates,1
271,Jinbe,Big Mom Pirates,1
272,John,Thriller Bark Pirates,1
273,Jorul,Giant Warrior Pirates,1
274,Juki,Beasts Pirates,1
275,Jumper,Beasts Pirates,1
276,Kaido,Beasts Pirates,1
277,Kamakiri-Girl,Beasts Pirates,1
278,Kamijiro,Beasts Pirates,1
279,Karma,Takotopus Pirates,1
280,Karoo,Straw Hat Pirates,1
281,Kasagoba,New Fish-Man Pirates,1
282,Kashii,Giant Warrior Pirates,1
283,Kato,Big Mom Pirates,1
284,Kazekage,Beasts Pirates,1
285,Kibagaeru,Foxy Pirates,1
286,Kibagaeru,Fanged Toad Pirates,1
287,Kikipatsu,Blackbeard Pirates,1
288,Killer,Kid Pirates,1
289,King,Beasts Pirates,1
290,Kingbaum,Big Mom Pirates,1
291,Koshi Falcon,Beasts Pirates,1
292,Koze,Yes Pirates,1
293,Kumacy,Thriller Bark Pirates,1
294,Kunyun,Beasts Pirates,1
295,Kuro,Black Cat Pirates,1
296,Kuromarimo,Bliking Pirates,1
297,Kurozumi Kanjuro,Beasts Pirates,1
298,Kurozumi Orochi,Beasts Pirates,1
299,Kuzan,Blackbeard Pirates,1
300,Lafitte,Blackbeard Pirates,1
301,Leo,Tontatta Pirates,1
302,Lime Juice,Red Hair Pirates,1
303,Linaria,Red Hair Pirates,1
304,Linaria,Night Butterfly Pirates,1
305,Little Oars Jr.,Little Pirates,1
306,Lola,Thriller Bark Pirates,1
307,Lucky Roux,Red Hair Pirates,1
308,Macro,Macro Pirates,1
309,Macro,Macro Pirates,1
310,Madillo-Man,Beasts Pirates,1
311,Maki,Blackbeard Pirates,1
312,Margaret,Kuja Pirates,1
313,Marshall D. Teech,Blackbeard Pirates,1
314,Masira,Masira Pirates,1
315,Massui,Beasts Pirates,1
316,McTreenald,Thriller Bark Pirates,1
317,Mikazuki,Big Helmet Pirates,1
318,Misery,Big Mom Pirates,1
319,Mizerka,Beasts Pirates,1
320,Moai,Kid Pirates,1
321,Mohji,Cross Guild,1
322,Mohji,Buggy Pirates,1
323,Momoo,Caribou Pirates,1
324,Monda,Foxy Pirates,1
325,Monkey D. Luffy,Straw Hat Pirates,1
326,Monster,Red Hair Pirates,1
327,Mosh,Kid Pirates,1
328,Mouji,Tontatta Pirates,1
329,Mountain Ricky,Foxy Pirates,1
330,Mouse-Man,Beasts Pirates,1
331,Mushroom,Buggy Pirates,1
332,Nami,Straw Hat Pirates,1
333,Nami,Ganzack Pirates,1
334,Nami,Golden Lion Pirates,1
335,Nangi,Beasts Pirates,1
336,Napoleon,Big Mom Pirates,1
337,Nash,New Giant Warrior Pirates,1
338,Nefeltari Vivi,Straw Hat Pirates,1
339,Neoki,Beasts Pirates,1
340,Nico Robin,Straw Hat Pirates,1
341,Nico Robin,Foxy Pirates,1
342,Nightcrab-Girl,Beasts Pirates,1
343,Nitro,Big Mom Pirates,1
344,Nodoi Wakan,Beasts Pirates,1
345,Nokokuwa Police,Beasts Pirates,1
346,Nokotti,Beasts Pirates,1
347,Nure-Onna,Beasts Pirates,1
348,Oars,Thriller Bark Pirates,1
349,Oimo,Giant Warrior Pirates,1
350,Oinkchuck,Thriller Bark Pirates,1
351,Packy,Yes Pirates,1
352,Page One,Beasts Pirates,1
353,Papas,Kid Pirates,1
354,Peachbeard,Peachbeard Pirates,1
355,Peachbeard,Blackbeard Pirates,1
356,Pedro,Nox Pirates,1
357,Pekoms,Nox Pirates,1
358,Pekoms,Big Mom Pirates,1
359,Pellini,Tontatta Pirates,1
360,Penguin,Heart Pirates,1
361,Perona,Thriller Bark Pirates,1
362,Pert,Bonney Pirates,1
363,Pickles,Foxy Pirates,1
364,Piper,New Giant Warrior Pirates,1
365,Poker,Beasts Pirates,1
366,Polo Gram,Polo Pirates,1
367,Pomp,Kid Pirates,1
368,Porche,Foxy Pirates,1
369,Porchemy,Bluejam Pirates,1
370,Potato,Bonney Pirates,1
371,Prometheus,Big Mom Pirates,1
372,Pururu,Red Hair Pirates,1
373,Pururu,Bourgeois Pirates,1
374,Queen,Beasts Pirates,1
375,Quincy,Kid Pirates,1
376,Rabbit-Man,Beasts Pirates,1
377,Rabiyan,Big Mom Pirates,1
378,Raijin,Beasts Pirates,1
379,Rampo,Tontatta Pirates,1
380,Ran,Kuja Pirates,1
381,Randolph,Big Mom Pirates,1
382,Reck,Kid Pirates,1
383,Redwolf,Beasts Pirates,1
384,Ribbitini,Red Hair Pirates,1
385,Ribbitini,Puddle Pirates,1
386,Richy,Cross Guild,1
387,Richy,Buggy Pirates,1
388,Rindo,Kuja Pirates,1
389,Risky Brothers,Rolling Pirates,1
390,Risky Brothers,Rolling Pirates,1
391,Risky Brothers,Thriller Bark Pirates,1
392,Risky Brothers,Thriller Bark Pirates,1
393,Robson,Bliking Pirates,1
394,Rockstar,Red Hair Pirates,1
395,Rodo,New Giant Warrior Pirates,1
396,Rokki,Beasts Pirates,1
397,Roronoa Zoro,Straw Hat Pirates,1
398,Roshio,Roshio Pirates,1
399,Ryce,Hokahoka Pirates,1
400,Rydin,Giant Warrior Pirates,1
401,Ryuma,Thriller Bark Pirates,1
402,Saitank,Beasts Pirates,1
403,Salome,Kuja Pirates,1
404,San Juan Wolf,Blackbeard Pirates,1
405,Sanji,Straw Hat Pirates,1
406,Sarahebi,Beasts Pirates,1
407,Sarai,Takotopus Pirates,1
408,Sarutobi,Beasts Pirates,1
409,Sasaki,Beast Pirates,1
410,Sasaki,Beasts Pirates,1
411,Sasaki,Sasaki Pirates,1
412,Scimitarta,Endurance Curry Pirates,1
413,Scorpion-Lady,Beasts Pirates,1
414,Scotch,Beasts Pirates,1
415,Scratchmen Apoo,Beasts Pirates,1
416,Scratchmen Apoo,On Air Pirates,1
417,Seamars,Space Pirates,1
418,Shachi,Heart Pirates,1
419,Shakuyaku,Kuja Pirates,1
420,Sham,Black Cat Pirates,1
421,Shanks,Red Hair Pirates,1
422,Sheepshead,Beasts Pirates,1
423,Shiki,Golden Lion Pirates,1
424,Shiryu,Blackbeard Pirates,1
425,Shojoe,Shoujou Pirates,1
426,Snakeman,Beasts Pirates,1
427,Snott Mee,Black Cat Pirates,1
428,Solitaire,Beasts Pirates,1
429,Sonie,Foxy Pirates,1
430,Speed,Beasts Pirates,1
431,Squard,Maelstrom Spider Pirates,1
432,Stansen,New Giant Warrior Pirates,1
433,Streusen,Big Mom Pirates,1
434,Stronger,Blackbeard Pirates,1
435,Suleiman,Beautiful Pirates,1
436,Surume,New Fish-Man Pirates,1
437,Sweetpea,Kuja Pirates,1
438,Tamago,Big Mom Pirates,1
439,Tansui,Macro Pirates,1
440,Tararan,Thriller Bark Pirates,1
441,Tenjo-Sagari,Beasts Pirates,1
442,Thormann,Giant Warrior Pirates,1
443,Tony Tony Chopper,Foxy Pirates,1
444,Tony Tony Chopper,Straw Hat Pirates,1
445,Tori,Blackbeard Pirates,1
446,Totts,Bonney Pirates,1
447,Trafalgar D. Water Law,Heart Pirates,1
448,Tritoma,Kuja Pirates,1
449,Tusk,Giant Warrior Pirates,1
450,UK,Kid Pirates,1
451,Ulti,Beasts Pirates,1
452,Uni,Heart Pirates,1
453,Unigaro,Thriller Bark Pirates,1
454,Urouge,Fallen Monk Pirates,1
455,Usopp,Straw Hat Pirates,1
456,Usunoro,Beasts Pirates,1
457,Uta,Red Hair Pirates,1
458,Uwattsura,Beasts Pirates,1
459,Van Auger,Blackbeard Pirates,1
460,Vander Decken IX,Flying Pirates,1
461,Vander Decken IX,New Fish-Man Pirates,1
462,Vasco Shot,Blackbeard Pirates,1
463,Victoria Cindry,Thriller Bark Pirates,1
464,Vito,Fire Tank Pirates,1
465,Wadatsumi,Flying Pirates,1
466,Wannabi Laikd,Germ Pirates,1
467,Wannabi Luvd,Germ Pirates,1
468,Wanyudo,Beasts Pirates,1
469,Wapol,Bliking Pirates,1
470,Who's-Who,Beast Pirates,1
471,Who's-Who,Beasts Pirates,1
472,Wire,Kid Pirates,1
473,X. Barrels,Barrels Pirates,1
474,X. Drake,Drake Pirates,1
475,X. Drake,Barrels Pirates,1
476,X. Drake,Beasts Pirates,1
477,Yamanba,Beasts Pirates,1
478,Yamato,Beasts Pirates,1
479,Yasopp,Red Hair Pirates,1
480,Yazaemon,Beasts Pirates,1
481,Zanki,Beasts Pirates,1
482,Zeff,Cook Pirates,1
483,Zeo,New Fish-Man Pirates,1
484,Zepo,Nox Pirates,1
485,Zeus,Big Mom Pirates,1
486,Zeus,Straw Hat Pirates,1
