,Official English Name,Birthday,Devil Fruit,Observation Haki,Armament Haki,Conquerers Haki,Origin,Age,Height,Blood Type,Bounty,norm_bounty,haki_score,recent_freq,total_appearances,activity_score,alive,affiliation,total_bounty,norm_crew_bounty,road_poneglyph,crew_score,closeness
62,Bunch,,0,0,0,0,West Blue,,,,,,0.0,,,,True,,,,,,
63,Bankina,December 17,0,0,0,0,East Blue,,,,,,0.0,,,,False,,,,,,0.0
64,Bancro,,0,0,0,0,,,,,,,0.0,,,,False,,,,,,0.0
65,Banshee,,0,0,0,0,,30.0,,,,,0.0,0.0,0.0,0.0,True,,,,,,
66,Banzaburo,,0,0,0,0,,,,,,,0.0,0.0,4.0,0.0013303769401330377,False,,,,,,0.0
67,"Gyoro, Nin, Bao",,0,0,0,0,,,,,,,0.0,,,,False,Thriller Bark Pirates,1290000000.0,0.8952551897523089,0.0,0.5371531138513853,0.0
68,"Gyoro, Nin, Bao",,0,0,0,0,,,,,,,0.0,,,,False,Thriller Bark Pirates,1290000000.0,0.8952551897523089,0.0,0.5371531138513853,0.0
69,Bao Huang,,1,0,0,0,,,,,,,0.0,0.0,9.0,0.0029933481152993346,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
70,Barbell,,0,0,0,0,,,,,,,0.0,,,,False,,,,,,0.0
71,Bariete,,0,0,0,0,,,,,,,0.0,0.0,9.0,0.0029933481152993346,True,,,,,,
72,Kicking Claw Force,,0,0,0,0,,,,,,,0.0,,,,False,,,,,,0.0
73,Barry,,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,True,,,,,,
74,Bartholomew Kuma,February 9,1,1,1,0,South Blue,45.0,689.0,X,296000000.0,0.8692561241041271,0.4,0.27,63.0,0.20995343680709533,True,,,,,,
75,Bartolomeo,October 6,1,0,0,0,East Blue,24.0,220.0,X,200000000.0,0.8517852302643466,0.0,0.01,60.0,0.026955654101995564,False,,,,,,0.0
76,Baskerville,March 30,0,0,0,0,Grand Line,48.0,512.0,Bas: X And: XF Kerville: F,,,0.0,,,,False,,,,,,0.0
77,Basil Hawkins,September 9,1,1,1,0,North Blue,29.0,210.0,S,320000000.0,0.8727303883688056,0.4,0.0,38.0,0.012638580931263858,False,Hawkins Pirates,320000000.0,0.835761449123163,0.0,0.5014568694738978,0.0
78,Basil Hawkins,September 9,1,1,1,0,North Blue,29.0,210.0,S,320000000.0,0.8727303883688056,0.4,0.0,38.0,0.012638580931263858,False,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,0.0
79,Basilisk,,0,0,0,0,West Blue,,,,,,0.0,0.0,2.0,0.0006651884700665188,True,,,,,,
80,Bastille,July 14,0,1,1,0,Grand Line,36.0,291.0,F,500000000.0,0.8926186474302545,0.4,0.0,20.0,0.0066518847006651885,True,,,,,,
81,Bacchy,July 1,0,0,0,0,East Blue,,,,,,0.0,,,,False,,,,,,0.0
82,Batman,,1,0,0,0,,,,,,,0.0,0.0,2.0,0.0006651884700665188,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
83,Grasshopper-Man,,1,0,0,0,,,,,,,0.0,,,,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
84,Baxcon,,0,0,0,0,,,,,,,0.0,0.0,10.0,0.0033259423503325942,True,Tontatta Pirates,129000000.0,0.7969898506827009,0.0,0.4781939104096205,
85,Beak Remark,,0,0,0,0,,,,,,,0.0,0.0,1.0,0.0003325942350332594,True,,,,,,
86,Bee-Girl,,1,0,0,0,,,,,,,0.0,,,,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
87,Beer VI,,0,0,0,0,,,,,,,0.0,0.0,5.0,0.0016629711751662971,True,,,,,,
88,Beetle-Man,,1,0,0,0,,,,,,,0.0,,,,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
89,Bekori,,0,0,0,0,,,,,,,0.0,0.02,2.0,0.014665188470066518,False,,,,,,0.0
90,Belo Betty,June 15,1,1,1,0,East Blue,34.0,196.0,XF,457000000.0,0.8886112587569673,0.4,0.07,13.0,0.053323725055432376,True,,,,,,
91,Belladonna,October 26,0,0,0,0,Calm Belt,,,,,,0.0,0.01,4.0,0.008330376940133038,True,,,,,,
92,Bellamy,August 7,1,1,1,0,North Blue,25.0,240.0,F,195000000.0,0.8506569719754256,0.4,0.0,35.0,0.01164079822616408,True,,,,,,
93,Bellett,,0,0,0,0,,,,,,,0.0,0.0,1.0,0.0003325942350332594,True,,,,,,
94,Belle-Mère,December 3,0,0,0,0,East Blue,,186.0,S,,,0.0,,,,False,,,,,,0.0
95,Benn Beckman,November 9,0,0,0,0,North Blue,50.0,206.0,X,0.0,0.0,0.0,0.02,12.0,0.01799113082039911,True,Red Hair Pirates,4142900000.0,0.9450476856439828,2.0,0.7670286113863896,0.15700394844135773
96,Bent,,0,0,0,0,,,,,,,0.0,0.15,15.0,0.10998891352549889,True,,,,,,
97,Bentham,August 15,1,0,0,0,East Blue,30.0,238.0,F,32000000.0,0.7701183968349481,0.0,0.0,17.0,0.00565410199556541,True,,,,,,
98,Bepo,November 20,0,0,0,0,Grand Line,20.0,240.0,S,1500.0,0.32593475268191535,0.0,0.02,51.0,0.030962305986696227,True,Heart Pirates,3000001500.0,0.9312725576728043,0.0,0.5587635346036826,0.21572559392265037
99,Bian,,1,0,0,0,,,,,,,0.0,0.01,21.0,0.013984478935698447,True,Tontatta Pirates,129000000.0,0.7969898506827009,0.0,0.4781939104096205,
100,Biblo,,1,0,0,0,,0.0,,,,,0.0,0.04,4.0,0.029330376940133036,True,,,,,,
101,Big Bun,May 25,0,0,0,0,,,,,,,0.0,,,,True,Foxy Pirates,954001000.0,0.8823784131843806,0.0,0.5294270479106283,
102,,,0,0,0,0,,,,,3000000.0,0.6646303343258158,0.0,,,,True,,,,,,
103,,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
104,Bimine,,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,True,,,,,,
105,Bingoh,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
106,Birdy,,0,0,0,0,,,,,,,0.0,0.0,3.0,0.0009977827050997783,True,,,,,,
107,Bishamon,August 1,0,0,0,0,Grand Line,28.0,182.0,XF,,,0.0,0.0,6.0,0.0019955654101995565,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
108,Bishonure-Onna,,1,0,0,0,,,,,,,0.0,0.0,5.0,0.0016629711751662971,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
109,Bisley,,1,0,0,0,,,,,,,0.0,0.0,4.0,0.0013303769401330377,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
110,Beeyo,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
111,Bizarre,February 3,0,0,0,0,,,,,,,0.0,0.0,4.0,0.0013303769401330377,True,,,,,,
112,,,0,0,0,0,,,,,,,0.0,,,,False,,,,,,0.0
113,Bjorn,,0,0,0,0,,,,,,,0.0,0.14,28.0,0.10731263858093126,True,,,,,,
114,Black Maria,September 24,1,1,1,0,Grand Line,29.0,820.0,S,480000000.0,0.8907994633264983,0.4,0.0,14.0,0.004656319290465632,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,0.5068186358565213
115,BBBB,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
116,Blade,,0,0,0,0,,,,,,,0.0,0.02,2.0,0.014665188470066518,True,,,,,,
117,Blakey,,0,0,0,0,Grand Line,,,,,,0.0,0.0,1.0,0.0003325942350332594,True,,,,,,
118,Blamenco,February 5,1,0,0,0,South Blue,,,,,,0.0,0.0,7.0,0.002328159645232816,True,,,,,,
119,Blenheim,August 6,0,0,0,0,Grand Line,,,,,,0.0,0.0,13.0,0.004323725055432372,True,,,,,,
120,Blondie,February 6,0,0,0,0,,,,,,,0.0,0.0,5.0,0.0016629711751662971,True,,,,,,
121,Bluefan,July 11,0,0,0,0,Calm Belt,,,,,,0.0,,,,True,Kuja Pirates,1739000000.0,0.9080011743060034,0.0,0.544800704583602,
122,Blue Gilly,November 27,0,0,0,0,Grand Line,24.0,314.0,S,,,0.0,0.0,20.0,0.0066518847006651885,True,Ideo Pirates,0.0,0.0,0.0,0.0,
123,Bluegrass,,1,0,0,0,,76.0,,,500000000.0,0.8926186474302545,0.0,0.09,9.0,0.06599334811529933,True,,,,,,
124,Bluejam,February 16,0,0,0,0,East Blue,42.0,261.0,X,14300000.0,0.7342232929828153,0.0,0.0,4.0,0.0013303769401330377,False,Bluejam Pirates,17700000.0,0.7122245551555894,0.0,0.4273347330933536,0.0
125,Blueno,April 20,1,1,1,0,North Blue,30.0,258.0,X,,,0.4,0.01,33.0,0.01797560975609756,True,,,,,,
126,Bluemarine,,0,0,0,0,,,,,,,0.0,,,,False,,,,,,0.0
127,Boa Hancock,September 2,1,1,1,1,Calm Belt,29.0,191.0,S,1659000000.0,0.9460668108888235,1.0,0.02,43.0,0.02830155210643015,True,Kuja Pirates,1739000000.0,0.9080011743060034,0.0,0.544800704583602,0.6984404946046534
128,Boa Marigold,September 5,1,1,1,0,Calm Belt,26.0,432.0,S,40000000.0,0.7800625261122158,0.4,0.01,15.0,0.011988913525498891,True,Kuja Pirates,1739000000.0,0.9080011743060034,0.0,0.544800704583602,0.4653766814554849
129,Boa Sandersonia,September 3,1,1,1,0,Calm Belt,28.0,453.0,S,40000000.0,0.7800625261122158,0.4,0.01,15.0,0.011988913525498891,True,Kuja Pirates,1739000000.0,0.9080011743060034,0.0,0.544800704583602,0.4653766814554849
130,Bobbin,,0,0,0,0,,,,,105500000.0,0.823281923940345,0.0,0.0,8.0,0.0026607538802660754,False,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,0.0
131,Bobby Funk,February 19,0,0,0,0,Grand Line,33.0,320.0,X,36000000.0,0.7753672589446313,0.0,0.0,7.0,0.002328159645232816,True,,,,,,
132,Bobomba,,0,0,0,0,,,,,,,0.0,0.0,14.0,0.004656319290465632,True,Tontatta Pirates,129000000.0,0.7969898506827009,0.0,0.4781939104096205,
133,Bogard,,0,0,0,0,,38.0,,,,,0.0,0.04,8.0,0.030660753880266074,True,,,,,,
134,,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
135,Bomba,August 14,0,0,0,0,,,,,,,0.0,0.0,70.0,0.02328159645232816,True,Tontatta Pirates,129000000.0,0.7969898506827009,0.0,0.4781939104096205,
136,Bongoh,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
137,Bonk Punch,,0,0,0,0,,,,,,,0.0,0.01,6.0,0.008995565410199555,True,Red Hair Pirates,4142900000.0,0.9450476856439828,2.0,0.7670286113863896,
138,Boo,August 20,0,0,1,0,,28.0,,,,,0.3,0.0,21.0,0.006984478935698447,True,,,,,,
139,Boodle,January 16,0,0,0,0,East Blue,73.0,172.0,F,,,0.0,0.01,6.0,0.008995565410199555,True,,,,,,
140,Boogie,,0,0,0,0,,,,,,,0.0,0.01,5.0,0.008662971175166297,False,Kid Pirates,3200000000.0,0.9340267883704848,0.0,0.5604160730222909,0.0
141,Borsalino,November 23,1,1,1,0,North Blue,56.0,302.0,XF,3000000000.0,0.9724662978477102,0.4,0.19,27.0,0.14198004434589798,True,,,,,,
142,Supersonic Duck SquadronSuper Spot-Billed Duck Troops,,0,0,0,0,,,,,,,0.0,,,,False,,,,,,0.0
143,Braham,October 10,0,0,0,0,Sky Islands,22.0,179.0,X,,,0.0,0.01,12.0,0.010991130820399111,True,,,,,,
144,Kicking Claw Force,,0,0,0,0,,,,,,,0.0,,,,False,,,,,,0.0
145,Brannew,September 3,0,0,0,0,Grand Line,54.0,190.0,X,100000000.0,0.8208959427433579,0.0,0.01,9.0,0.009993348115299333,True,,,,,,
146,Brew,,0,0,0,0,,,,,,,0.0,0.0,2.0,0.0006651884700665188,True,,,,,,
147,Briscola,,1,0,0,0,,,,,,,0.0,0.0,7.0,0.002328159645232816,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
148,Brocca,,0,0,0,0,,,,,,,0.0,0.0,1.0,0.0003325942350332594,True,,,,,,
149,Brogy,February 1,0,0,0,0,Grand Line,158.0,2130.0,F,1800000000.0,0.949701955562127,0.0,0.39,52.0,0.29029490022172943,True,Giant Warrior Pirates,3600000000.0,0.9390533083467907,0.0,0.5634319850080743,0.4556559637145989
150,Brontosaurus,November 19,0,0,0,0,Grand Line,,,,,,0.0,0.0,2.0,0.0006651884700665188,False,,,,,,0.0
151,Brook,April 3,1,0,0,0,West Blue,90.0,277.0,X,383000000.0,0.8807391308020552,0.0,0.39,315.0,0.3777671840354767,True,Straw Hat Pirates,8816001000.0,0.9772754919028948,3.0,0.8863652951417369,0.5170482350760592
152,Bubblegum,,0,0,0,0,,,,,,,0.0,0.01,5.0,0.008662971175166297,False,Kid Pirates,3200000000.0,0.9340267883704848,0.0,0.5604160730222909,0.0
153,Bouche,,0,0,0,0,,,,,,,0.0,,,,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,
154,Buchi,February 7,0,0,0,0,East Blue,21.0,216.0,X,7000000.0,0.702389157075982,0.0,0.0,6.0,0.0019955654101995565,True,Black Cat Pirates,31000000.0,0.7361412005448258,0.0,0.4416847203268955,0.29945280427021365
155,Buckingham Stussy,April 12,0,0,0,0,Grand Line,76.0,68.0,S,,,0.0,0.1,11.0,0.07365853658536585,True,,,,,,
156,Buffalo,April 8,1,0,0,0,North Blue,30.0,696.0,F,,,0.0,0.0,16.0,0.005321507760532151,True,,,,,,
157,Buggy,August 8,1,0,0,0,Grand Line,39.0,130.0,F,3189000000.0,0.9751889289947157,0.0,0.04,66.0,0.04995121951219512,True,Cross Guild,8848000000.0,0.9774301107626138,0.0,0.5864580664575683,0.41983853589236736
158,Oinkchuck,,0,0,0,0,,,,,,,0.0,,,,False,Thriller Bark Pirates,1290000000.0,0.8952551897523089,0.0,0.5371531138513853,0.0
159,Building Snake,,0,0,0,0,,,,,,,0.0,0.0,2.0,0.0006651884700665188,True,Red Hair Pirates,4142900000.0,0.9450476856439828,2.0,0.7670286113863896,
160,Bulldog,,0,0,0,0,,,,,,,0.0,0.01,1.0,0.007332594235033259,True,,,,,,
161,Bunbuku,,1,0,0,0,,,,,,,0.0,0.0,2.0,0.0006651884700665188,True,,,,,,
162,Bungoh,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
163,Bunny Joe,,0,0,0,0,,,,,,,0.0,0.0,2.0,0.0006651884700665188,True,,,,,,
164,Bushon,,0,0,0,0,,,,,,,0.0,0.0,3.0,0.0009977827050997783,True,,,,,,
165,Busshiri,,0,0,0,0,,,,,,,0.0,0.0,4.0,0.0013303769401330377,False,,,,,,0.0
166,Byron,December 18,0,0,0,0,West Blue,25.0,192.0,,,,0.0,0.0,1.0,0.0003325942350332594,True,,,,,,
167,Cabaji,September 8,0,0,0,0,East Blue,32.0,208.0,X,,,0.0,0.01,14.0,0.011656319290465633,True,Cross Guild,8848000000.0,0.9774301107626138,0.0,0.5864580664575683,
168,Caesar Clown,April 9,1,0,0,0,Grand Line,55.0,309.0,X,300000000.0,0.8698543051941867,0.0,0.02,60.0,0.03395565410199557,True,,,,,,
169,Caiman Lady,,1,0,0,0,,,,,,,0.0,,,,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
170,Camie,November 3,0,0,0,0,Grand Line,16.0,197.0,X,,,0.0,0.01,44.0,0.021634146341463413,True,,,,,,
171,Camel,,0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,True,Blackbeard Pirates,4246200000.0,0.9460987312641302,2.0,0.7676592387584782,
172,Cancer,,0,0,0,0,,,,,500000000.0,0.8926186474302545,0.0,0.0,6.0,0.0019955654101995565,True,,,,,,
173,Kandre,May 19,0,0,0,0,,30.0,,,,,0.0,,,,True,,,,,,
174,Cans,,0,0,0,0,,,,,,,0.0,,,,True,,,,,,
175,Candy,June 14,0,0,0,0,Grand Line,,,,,,0.0,0.0,0.0,0.0,False,Candy Pirates,0.0,0.0,0.0,0.0,0.0
176,Capone Bege,January 17,1,0,0,0,West Blue,40.0,166.0,S,350000000.0,0.8767238486676696,0.0,0.0,40.0,0.013303769401330377,True,Big Mom Pirates,11571500000.0,0.988882400098621,1.0,0.6933294400591726,0.4043437964924015
177,Capone Bege,January 17,1,0,0,0,West Blue,40.0,166.0,S,350000000.0,0.8767238486676696,0.0,0.0,40.0,0.013303769401330377,True,Fire Tank Pirates,535000000.0,0.8576946465883621,0.0,0.5146167879530172,0.36860126607117044
178,Capone Pez,January 22,0,0,0,0,,1.0,,,,,0.0,0.0,13.0,0.004323725055432372,True,Fire Tank Pirates,535000000.0,0.8576946465883621,0.0,0.5146167879530172,
179,Capote,May 1,0,0,0,0,,,,,,,0.0,0.0,6.0,0.0019955654101995565,True,Foxy Pirates,954001000.0,0.8823784131843806,0.0,0.5294270479106283,
180,Caribou,July 4,1,0,0,0,North Blue,32.0,228.0,XF,210000000.0,0.8539595064570669,0.0,0.04,27.0,0.036980044345898,True,Caribou Pirates,400000000.0,0.8452843444128213,0.0,0.5071706066476928,0.36501798213583825
181,Carmel,December 21,1,0,0,0,West Blue,,185.0,S,,,0.0,0.0,1.0,0.0003325942350332594,False,,,,,,0.0
182,Carne,February 9,0,0,0,0,East Blue,32.0,171.0,S,,,0.0,0.0,19.0,0.006319290465631929,True,,,,,,
183,Carrot,May 24,0,0,0,0,Grand Line,15.0,161.0,F,,,0.0,0.01,102.0,0.04092461197339246,True,,,,,,
184,Catacombo,,0,0,0,0,,,,,200000000.0,0.8517852302643466,0.0,0.0,3.0,0.0009977827050997783,True,,,,,,
185,Catarina Devon,March 29,1,0,0,0,South Blue,34.0,361.0,F,0.0,0.0,0.0,0.04,11.0,0.031658536585365854,True,Blackbeard Pirates,4246200000.0,0.9460987312641302,2.0,0.7676592387584782,0.15986355506876881
186,Caucasus-Man,,1,0,0,0,,,,,,,0.0,,,,True,Beasts Pirates,11530100000.0,0.9887294416706567,0.0,0.5932376650023939,
187,Cavendish,August 31,0,1,1,0,Grand Line,26.0,208.0,XF,330000000.0,0.8741016910915818,0.4,0.0,45.0,0.014966740576496673,True,Beautiful Pirates,397000000.0,0.8449630674033065,0.0,0.5069778404419839,0.4866194235311706
188,CB Gallant,,0,0,0,0,,,,,,,0.0,0.02,5.0,0.015662971175166296,False,,,,,,0.0
189,Cerberus,November 29,0,0,0,0,,,,,,,0.0,0.03,16.0,0.02632150776053215,False,Thriller Bark Pirates,1290000000.0,0.8952551897523089,0.0,0.5371531138513853,0.0
190,Cerberus,November 29,0,0,0,0,,,,,,,0.0,0.03,16.0,0.02632150776053215,False,Thriller Bark Pirates,1290000000.0,0.8952551897523089,0.0,0.5371531138513853,0.0
191,Cerberus,,0,0,0,0,,,,,,,0.0,0.03,16.0,0.02632150776053215,True,Thriller Bark Pirates,1290000000.0,0.8952551897523089,0.0,0.5371531138513853,
192,Cerberus,,0,0,0,0,,,,,,,0.0,0.03,16.0,0.02632150776053215,True,Thriller Bark Pirates,1290000000.0,0.8952551897523089,0.0,0.5371531138513853,
193,Cezar,,0,0,0,0,,,,,,,0.0,0.0,2.0,0.0006651884700665188,True,,,,,,
194,Chabo,June 14,0,0,0,0,East Blue,,,,,,0.0,0.01,5.0,0.008662971175166297,True,,,,,,
195,Browndros BeardriguezChadros Higelyges,February 3,0,0,0,0,Grand Line,43.0,691.0,S,80060000.0,0.8109852236379302,0.0,,,,True,Brownbeard Pirates,80060000.0,0.7766318152298403,0.0,0.46597908913790415,
196,Chaka,April 26,1,0,0,0,Grand Line,39.0,213.0,S,,,0.0,0.01,25.0,0.015314855875831484,True,,,,,,
197,Chao,,0,0,0,0,,,,,,,0.0,0.0,16.0,0.005321507760532151,True,Tontatta Pirates,129000000.0,0.7969898506827009,0.0,0.4781939104096205,
198,Chap,,0,0,0,0,,,,,,,0.0,0.0,2.0,0.0006651884700665188,True,,,,,,
199,Chappe,,0,0,0,0,,,,,,,0.0,0.0,4.0,0.0013303769401330377,True,,,,,,
